,Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
17984,17985,0.57,Premium,E,VS1,61.6,58.0,5.36,5.33,3.29,2753
14313,14314,0.4,Premium,F,VVS2,60.7,58.0,4.75,4.7,2.87,1163
6903,6904,0.3,Ideal,D,VVS2,61.6,58.0,4.29,4.32,2.65,814
17305,17306,1.28,Premium,G,VS1,60.9,58.0,7.09,7.01,4.29,9505
19297,19298,0.56,Ideal,G,SI1,62.3,53.0,5.31,5.28,3.3,1591
7532,7533,0.31,Very Good,G,VVS2,60.0,62.0,4.4,4.44,2.65,707
13826,13827,0.33,Premium,I,VS1,61.1,59.0,4.44,4.47,2.72,521
9047,9048,0.37,Ideal,E,VS1,61.2,56.0,4.67,4.64,2.85,1124
21131,21132,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,6562
17877,17878,1.54,Very Good,G,SI1,61.3,59.0,7.38,7.41,4.53,10036
1602,1603,1.2,Ideal,H,SI1,,56.0,6.8,6.77,4.23,6471
18151,18152,0.41,Good,E,VVS1,63.5,57.0,4.73,4.75,3.01,1002
15006,15007,1.1,Ideal,H,SI2,62.0,55.0,6.61,6.65,4.11,4733
3475,3476,1.0,Good,H,SI2,59.0,61.0,6.42,6.46,3.8,3991
15458,15459,0.41,Ideal,D,SI1,60.8,57.0,4.84,4.8,2.93,1015
12524,12525,0.76,Ideal,H,VVS1,61.9,54.0,5.87,5.9,3.64,3648
15144,15145,0.34,Good,H,SI1,63.3,56.0,4.45,4.46,2.82,490
21475,21476,0.36,Ideal,F,VS2,60.9,57.0,4.61,4.58,2.8,932
16357,16358,0.33,Very Good,H,IF,61.7,59.0,4.43,4.45,2.74,787
26238,26239,1.02,Very Good,G,VVS2,62.7,58.0,6.36,6.4,4.0,9596
18340,18341,1.0,Very Good,F,SI1,63.2,54.0,6.3,6.23,3.96,4088
7121,7122,1.33,Ideal,F,IF,60.2,57.0,7.12,7.17,4.3,18435
15744,15745,1.01,Fair,D,SI1,63.5,58.0,6.35,6.25,4.0,4751
26601,26602,1.2,Premium,H,SI2,59.8,58.0,6.92,6.83,4.11,4032
14219,14220,1.0,Very Good,G,VS2,63.4,57.0,6.31,6.27,3.99,5806
14273,14274,0.54,Ideal,H,VS2,60.1,57.0,5.33,5.28,3.19,1439
24082,24083,0.73,Premium,D,VS2,60.9,59.0,5.82,5.77,3.53,2947
7068,7069,0.72,Ideal,J,VVS2,61.5,57.0,5.74,5.77,3.54,2150
22929,22930,0.4,Premium,D,SI1,61.1,58.0,4.74,4.75,2.9,772
26091,26092,1.05,Ideal,D,VS2,61.0,56.0,6.54,6.61,4.01,8451
23346,23347,0.32,Ideal,F,VS1,61.9,56.0,4.4,4.36,2.71,900
19768,19769,2.08,Very Good,E,SI2,62.4,60.0,8.13,8.15,5.08,18128
4775,4776,0.33,Ideal,G,IF,61.3,57.0,4.42,4.46,2.72,984
8822,8823,0.43,Premium,H,SI1,59.0,58.0,4.93,4.96,2.92,716
10113,10114,0.51,Very Good,G,VVS1,60.1,56.0,5.16,5.35,3.16,2005
8499,8500,2.04,Premium,H,SI2,62.7,56.0,8.12,8.06,5.07,15760
19728,19729,1.58,Premium,D,SI1,62.7,60.0,7.41,7.37,4.63,13995
84,85,0.43,Very Good,E,VS2,62.2,58.0,4.81,4.87,3.01,869
10498,10499,1.21,Ideal,F,SI2,61.8,57.0,6.87,6.82,4.23,6105
17963,17964,0.32,Ideal,E,VVS1,61.2,55.0,4.41,4.42,2.7,892
3851,3852,0.31,Ideal,D,VS2,61.7,55.0,4.35,4.4,2.7,734
12767,12768,0.28,Good,J,VVS2,58.4,60.0,4.27,4.33,2.51,375
10852,10853,1.17,Ideal,F,SI1,62.2,56.0,6.73,6.71,4.18,5944
14639,14640,1.75,Ideal,H,I1,,54.9,7.75,7.78,4.78,7276
22859,22860,0.81,Very Good,F,VVS2,63.1,56.0,5.99,5.9,3.75,3992
14480,14481,0.42,Ideal,D,VVS2,61.4,56.0,4.85,4.82,2.97,1389
10432,10433,1.02,Ideal,G,VS1,61.3,57.0,6.48,6.51,3.98,7324
22791,22792,1.01,Good,E,SI1,63.7,58.0,6.36,6.32,4.04,5226
3607,3608,0.52,Ideal,D,VS2,62.6,55.0,5.12,5.14,3.21,1822
21466,21467,0.7,Fair,H,VS2,,58.0,5.87,5.89,3.35,1981
6153,6154,1.03,Very Good,D,SI1,61.8,57.0,6.49,6.53,4.02,5393
24425,24426,0.7,Premium,D,SI1,62.8,60.0,5.68,5.66,3.56,2782
1320,1321,0.39,Ideal,E,SI1,60.6,57.0,4.75,4.79,2.89,677
19432,19433,1.07,Very Good,G,VS1,60.9,55.0,6.6,6.64,4.03,6998
25810,25811,1.01,Premium,G,SI2,60.4,59.0,6.57,6.52,3.95,4327
19671,19672,0.91,Good,F,SI2,56.9,62.0,6.51,6.45,3.69,2461
12350,12351,0.3,Premium,F,SI2,62.2,58.0,4.33,4.22,2.66,506
5380,5381,1.02,Premium,G,VS2,61.5,59.0,6.44,6.41,3.95,6416
5817,5818,0.32,Ideal,F,VS2,62.4,55.0,4.43,4.41,2.76,828
13862,13863,1.03,Very Good,G,SI2,61.4,54.0,6.52,6.57,4.02,4466
17578,17579,1.3,Very Good,H,SI1,63.4,57.0,6.93,6.88,4.38,6307
6115,6116,0.91,Fair,H,SI2,61.3,67.0,6.24,6.19,3.81,2825
24395,24396,1.01,Good,E,SI1,64.3,59.0,6.34,6.31,4.07,4853
8360,8361,0.31,Ideal,G,VS1,61.3,55.0,4.39,4.42,2.7,645
11624,11625,1.03,Ideal,F,VVS1,62.1,56.3,6.43,6.5,4.02,10619
13188,13189,1.01,Good,G,SI1,63.6,58.0,6.29,6.35,4.02,4195
1143,1144,1.19,Premium,G,VS1,62.6,58.0,6.78,6.71,4.22,8109
8486,8487,0.32,Very Good,G,VVS2,64.0,55.0,4.31,4.35,2.77,607
551,552,0.62,Ideal,D,VS2,61.2,56.0,5.49,5.52,3.37,2243
24925,24926,1.55,Premium,I,SI2,58.5,60.0,7.64,7.58,4.45,7972
20438,20439,0.52,Ideal,D,VS2,61.8,57.0,5.2,5.16,3.2,1919
8590,8591,0.71,Premium,G,VS2,61.9,62.0,5.72,5.69,3.53,2694
26269,26270,0.43,Ideal,G,VS1,62.3,56.0,4.85,4.82,3.01,1008
2803,2804,1.01,Very Good,I,SI1,63.5,53.0,6.32,6.4,4.04,4794
1046,1047,0.53,Good,E,VS2,58.6,62.0,5.26,5.32,3.1,1422
149,150,0.9,Very Good,F,SI1,62.5,62.0,6.08,6.11,3.81,3950
3069,3070,0.7,Very Good,E,VS2,58.9,60.0,5.83,5.85,3.44,2845
8684,8685,0.4,Very Good,I,VVS1,63.5,57.0,4.68,4.65,2.96,1080
94,95,0.5,Very Good,E,VVS2,60.9,59.0,5.07,5.11,3.1,2003
7625,7626,0.3,Ideal,G,VVS2,62.2,57.0,4.25,4.3,2.66,655
21509,21510,1.51,Premium,H,VVS1,60.6,60.0,7.4,7.42,4.49,12224
12865,12866,1.06,Very Good,F,SI1,62.5,58.0,6.46,6.5,4.05,4721
914,915,0.71,Premium,H,IF,62.9,60.0,5.74,5.67,3.59,3349
9793,9794,1.21,Premium,I,SI2,59.9,58.0,6.94,6.91,4.15,4879
11808,11809,0.41,Very Good,D,VS2,62.1,53.0,4.78,4.82,2.98,912
18966,18967,0.3,Very Good,H,SI1,63.4,58.0,4.24,4.21,2.68,540
24274,24275,0.32,Very Good,E,VVS1,59.0,61.0,4.44,4.47,2.63,748
19482,19483,0.38,Ideal,H,SI1,61.5,56.0,4.67,4.69,2.88,680
1496,1497,1.7,Ideal,J,VS1,60.9,58.0,7.73,7.68,4.69,10589
25718,25719,1.52,Premium,G,VS1,58.8,61.0,7.54,7.45,4.41,10640
16135,16136,0.31,Ideal,E,SI2,61.7,56.0,4.4,4.35,2.7,558
13508,13509,0.7,Very Good,E,VVS2,59.2,61.0,5.79,5.84,3.44,3154
4885,4886,0.7,Premium,D,SI2,62.1,60.0,5.73,5.71,3.55,2319
10633,10634,1.02,Good,F,VS1,62.6,54.3,6.41,6.45,4.02,8011
23673,23674,0.41,Very Good,F,SI1,63.2,59.0,4.72,4.68,2.97,969
15624,15625,1.63,Premium,I,VS2,61.0,60.0,7.62,7.59,4.64,10479
16180,16181,1.01,Very Good,J,VS2,60.6,59.0,6.42,6.45,3.9,4337
7873,7874,1.23,Very Good,I,VS2,61.2,59.0,6.84,6.81,4.18,6826
18712,18713,1.23,Very Good,G,SI1,63.1,56.0,6.81,6.78,4.29,6665
25169,25170,0.25,Premium,E,VS2,59.7,61.0,4.1,4.08,2.44,525
18087,18088,0.37,Ideal,F,VS2,60.6,56.0,4.64,4.63,2.81,957
16828,16829,0.53,Ideal,G,VVS1,61.4,57.0,5.21,5.18,3.19,2106
16403,16404,0.97,Ideal,H,SI2,61.6,56.0,6.39,6.36,3.93,3802
18641,18642,0.41,Ideal,F,VS2,61.1,56.0,4.8,4.83,2.94,863
15841,15842,0.73,Fair,I,I1,66.1,58.0,5.63,5.5,3.68,1175
13695,13696,0.35,Very Good,G,VS1,61.7,61.0,4.49,4.52,2.78,706
10121,10122,0.43,Ideal,E,VVS2,60.8,57.0,4.9,4.87,2.97,1135
4901,4902,1.1,Premium,I,SI1,61.2,61.0,6.66,6.61,4.01,4725
15241,15242,0.74,Very Good,J,IF,60.3,58.0,5.82,5.86,3.52,2277
12235,12236,1.01,Good,F,VVS1,63.2,56.0,6.33,6.39,4.02,9012
20612,20613,0.72,Good,G,VS1,,57.8,5.85,5.87,3.4,2958
5145,5146,1.0,Good,F,VVS2,60.7,62.0,6.36,6.4,3.87,8079
12957,12958,0.71,Good,I,SI1,64.2,57.0,5.59,5.57,3.58,1715
7284,7285,1.6,Ideal,F,VS1,62.0,56.0,7.47,7.52,4.65,18780
5568,5569,1.0,Very Good,E,SI1,63.3,57.0,6.28,6.32,3.99,5113
1967,1968,0.5,Ideal,G,VVS2,61.2,56.0,5.13,5.1,3.13,1935
22463,22464,0.35,Premium,G,IF,59.1,59.0,4.62,4.59,2.72,1116
9376,9377,1.01,Ideal,F,SI2,62.4,54.0,6.41,6.44,4.01,5154
11075,11076,0.9,Ideal,H,SI2,61.9,55.0,6.21,6.19,3.84,4101
26821,26822,1.01,Very Good,G,SI1,62.4,58.0,6.39,6.44,4.0,4653
1634,1635,0.9,Very Good,I,VS2,63.1,57.0,6.12,6.09,3.85,3473
25859,25860,0.52,Very Good,F,VVS1,62.0,57.0,5.11,5.15,3.18,2314
7402,7403,0.43,Very Good,G,VVS2,61.7,56.0,4.84,4.88,2.99,976
15904,15905,0.93,Good,J,VS2,63.6,61.0,6.16,6.08,3.89,3000
23585,23586,0.34,Ideal,F,VS2,60.8,57.0,4.51,4.54,2.75,699
9809,9810,0.7,Ideal,I,VS2,61.6,56.0,5.67,5.72,3.51,2351
18181,18182,1.53,Premium,H,VS1,60.8,59.0,7.41,7.36,4.49,11413
3037,3038,0.38,Ideal,F,VS1,62.0,54.0,4.65,4.68,2.89,865
9671,9672,1.24,Very Good,E,VS1,62.0,58.0,6.9,6.96,4.3,10185
622,623,1.0,Good,J,VS2,58.7,61.0,6.5,6.52,3.82,3769
6246,6247,0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,776
926,927,0.6,Ideal,H,VS1,61.6,56.0,5.4,5.42,3.33,1820
9690,9691,1.67,Very Good,I,VS1,61.6,59.1,7.61,7.64,4.7,11867
26122,26123,0.76,Ideal,I,VVS1,62.2,55.0,5.89,5.87,3.66,2753
16950,16951,1.01,Good,G,VS2,60.3,57.0,6.46,6.51,3.91,5655
12309,12310,0.34,Premium,D,VS2,59.3,59.0,4.59,4.55,2.71,881
26691,26692,0.5,Very Good,E,SI1,61.4,63.0,5.1,5.06,3.12,1238
11571,11572,0.31,Premium,F,VS2,62.3,60.0,4.35,4.32,2.7,802
14952,14953,0.31,Ideal,F,VS2,62.8,56.0,4.32,4.28,2.7,802
14980,14981,0.7,Good,G,VS2,63.8,55.0,5.66,5.59,3.59,2496
1332,1333,0.41,Ideal,F,VVS1,61.2,57.0,4.79,4.85,2.95,1205
9224,9225,0.52,Ideal,G,VS2,62.0,55.0,5.19,5.13,3.2,1577
5149,5150,0.32,Ideal,G,VVS2,62.0,56.0,4.41,4.43,2.74,708
25995,25996,1.74,Premium,H,SI2,59.9,59.0,7.88,7.8,4.7,10874
10522,10523,1.16,Ideal,I,SI2,62.4,55.0,6.76,6.69,4.2,3800
2688,2689,1.13,Ideal,H,I1,62.2,55.0,6.65,6.69,4.15,3678
1714,1715,0.44,Premium,F,VVS2,61.6,58.0,4.89,4.85,3.0,1253
18632,18633,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,5539
21577,21578,0.35,Premium,F,VS2,61.4,59.0,4.56,4.53,2.79,906
2059,2060,1.04,Ideal,G,SI2,62.4,54.0,6.49,6.53,4.06,5044
11129,11130,0.56,Ideal,E,VS2,62.6,57.0,5.29,5.26,3.3,1915
6037,6038,0.71,Premium,D,SI2,61.7,59.0,5.71,5.67,3.51,2768
8523,8524,0.3,Very Good,G,VS1,60.2,62.0,4.3,4.31,2.59,565
3855,3856,0.51,Ideal,E,VS2,61.8,56.0,5.14,5.12,3.17,1781
13996,13997,0.57,Premium,G,VS2,59.7,59.0,5.37,5.41,3.22,1608
8122,8123,0.71,Very Good,E,VS2,62.7,59.0,5.65,5.7,3.56,2830
7518,7519,0.9,Good,G,SI2,63.8,59.0,6.02,6.05,3.85,3303
25341,25342,0.32,Ideal,D,VVS1,61.7,55.0,4.44,4.41,2.73,1140
10907,10908,1.06,Premium,G,VS2,62.5,58.0,6.52,6.47,4.06,5543
19458,19459,0.31,Very Good,H,VVS1,63.0,58.0,4.33,4.37,2.74,707
10080,10081,0.52,Ideal,G,VVS1,60.7,55.0,5.19,5.29,3.18,2065
8508,8509,0.83,Ideal,H,SI1,62.5,55.0,6.04,6.0,3.76,2816
19207,19208,0.33,Premium,I,VVS1,61.9,60.0,4.44,4.41,2.74,780
7580,7581,1.07,Ideal,G,SI1,60.2,57.0,6.7,6.59,4.0,5453
23142,23143,0.7,Premium,E,VS1,62.6,59.0,5.69,5.66,3.55,2837
24169,24170,0.32,Ideal,E,VS1,61.7,56.0,4.42,4.39,2.72,972
7845,7846,1.33,Ideal,D,VS2,62.8,56.0,7.08,7.03,4.43,11409
17930,17931,0.72,Ideal,G,SI2,62.3,54.0,5.76,5.79,3.6,2295
25626,25627,1.65,Ideal,G,VS2,60.8,56.0,7.65,7.7,4.67,14456
2818,2819,1.27,Very Good,I,SI1,63.1,59.0,6.83,6.87,4.32,5953
13008,13009,0.53,Ideal,G,VVS2,61.4,57.0,5.17,5.2,3.18,2250
950,951,0.9,Fair,D,SI1,66.4,59.0,5.97,5.92,3.95,3382
5362,5363,0.95,Premium,E,SI2,60.7,59.0,6.3,6.36,3.84,4142
11592,11593,0.31,Ideal,G,VVS2,61.4,56.0,4.38,4.35,2.68,907
22526,22527,0.57,Very Good,J,SI2,59.9,60.0,5.36,5.43,3.23,1235
20257,20258,0.42,Ideal,D,VS2,62.6,56.0,4.76,4.8,2.99,948
23451,23452,1.05,Very Good,E,SI2,62.3,56.0,6.47,6.54,4.05,4851
11124,11125,1.21,Very Good,G,VVS2,62.9,59.0,6.68,6.74,4.22,9358
24358,24359,0.51,Good,H,SI1,63.7,56.0,5.1,5.07,3.24,1227
21663,21664,1.2,Ideal,H,SI1,61.1,56.0,6.92,6.87,4.21,6968
6385,6386,1.1,Ideal,H,SI1,62.5,57.0,6.6,6.56,4.11,4764
13783,13784,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
1639,1640,1.33,Ideal,J,VS1,62.5,58.0,6.99,7.03,4.38,6449
5200,5201,0.31,Very Good,G,VS1,63.2,56.0,4.32,4.29,2.72,802
13048,13049,0.32,Premium,G,VS2,60.7,58.0,4.38,4.42,2.67,561
14558,14559,0.51,Ideal,G,VS1,61.9,56.0,5.14,5.1,3.17,1781
6451,6452,0.59,Ideal,G,IF,59.5,58.0,5.49,5.57,3.29,2551
23308,23309,0.91,Fair,F,I1,67.0,62.0,5.97,5.89,3.98,1570
16426,16427,0.39,Premium,E,VS2,61.4,58.0,4.73,4.68,2.89,951
25367,25368,1.0,Premium,I,VS2,62.7,62.0,6.32,6.27,3.95,3918
25339,25340,0.7,Premium,F,SI1,60.2,58.0,5.76,5.7,3.45,2319
24031,24032,0.74,Good,D,SI1,63.1,59.0,5.71,5.74,3.61,2753
20816,20817,0.45,Ideal,F,SI1,60.8,56.0,4.97,4.93,3.01,930
24682,24683,0.33,Premium,I,VVS1,61.7,61.0,4.45,4.43,2.74,780
7316,7317,0.31,Premium,G,VS2,59.9,59.0,4.38,4.4,2.63,544
1965,1966,0.64,Ideal,G,VVS2,61.8,56.0,5.53,5.56,3.43,2587
25472,25473,0.54,Ideal,H,VVS1,61.9,54.0,5.22,5.25,3.24,1774
23432,23433,0.53,Very Good,G,SI1,63.4,54.0,5.09,5.13,3.24,1161
23495,23496,1.1,Ideal,H,VS1,61.7,56.0,6.61,6.65,4.09,6630
17183,17184,1.01,Ideal,J,SI1,62.8,57.0,6.4,6.44,4.03,3926
2025,2026,0.36,Ideal,E,VS1,61.8,56.0,4.6,4.56,2.83,1094
14066,14067,0.51,Very Good,D,VS1,62.4,58.0,5.13,5.16,3.21,1849
11548,11549,0.51,Ideal,G,VVS2,,56.0,5.12,5.14,3.16,1827
23783,23784,0.54,Ideal,F,VS2,61.1,57.0,5.3,5.27,3.23,1820
4963,4964,1.03,Very Good,F,VS1,62.8,54.1,6.39,6.48,4.05,8089
4127,4128,1.09,Ideal,F,VS2,60.9,54.0,6.66,6.73,4.08,7385
10573,10574,1.5,Good,G,SI1,63.7,59.0,7.19,7.23,4.59,10428
24197,24198,0.9,Very Good,G,SI1,62.0,61.0,6.07,6.13,3.78,3734
7681,7682,0.42,Very Good,E,VS2,62.8,59.0,4.76,4.8,3.0,958
17168,17169,0.33,Ideal,E,VVS1,61.2,56.0,4.51,4.45,2.74,1052
2928,2929,1.21,Very Good,H,VS1,62.0,58.0,6.76,6.91,4.24,7279
18018,18019,1.22,Very Good,J,SI2,60.5,58.5,6.84,6.96,4.17,4861
1790,1791,0.8,Very Good,H,SI1,63.2,54.0,5.93,5.88,3.73,2553
6954,6955,0.31,Ideal,D,SI1,62.6,56.0,4.36,4.33,2.72,732
21402,21403,0.31,Ideal,H,VVS2,62.3,55.0,4.36,4.37,2.72,625
15062,15063,0.34,Ideal,H,VVS2,61.8,54.0,4.49,4.47,2.77,880
14018,14019,1.19,Premium,G,SI2,62.4,59.0,6.74,6.71,4.2,4078
7026,7027,0.31,Ideal,H,VS1,62.6,55.0,4.38,4.34,2.73,698
13199,13200,1.56,Ideal,J,VS1,62.5,56.0,7.38,7.46,4.64,8763
6707,6708,0.38,Ideal,H,SI1,62.0,54.0,4.66,4.72,2.91,671
16573,16574,1.18,Good,D,SI2,61.7,63.0,6.67,6.72,4.13,5315
16287,16288,0.55,Ideal,F,SI2,62.3,57.0,5.27,5.22,3.27,1263
1593,1594,1.9,Premium,G,SI2,63.0,58.0,7.93,7.86,4.97,13919
13887,13888,0.54,Ideal,H,VVS1,61.7,57.0,5.23,5.24,3.23,1846
4383,4384,0.37,Ideal,E,VS1,61.2,56.0,4.64,4.67,2.85,876
7527,7528,0.4,Ideal,E,VS1,,55.0,4.67,4.71,2.93,947
700,701,0.53,Premium,H,SI1,60.9,60.0,5.26,5.19,3.18,1193
20112,20113,0.28,Ideal,E,VS1,62.0,57.0,4.17,4.2,2.59,598
11482,11483,0.9,Fair,G,SI1,65.4,59.0,6.04,6.0,3.94,3145
18715,18716,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1103
4029,4030,0.56,Ideal,F,SI2,61.9,55.0,5.27,5.31,3.28,1212
18650,18651,1.04,Premium,E,SI2,61.6,58.0,6.52,6.45,3.99,3914
10614,10615,0.7,Very Good,I,VS2,60.8,61.0,5.72,5.76,3.49,2360
764,765,0.23,Very Good,F,VVS2,61.0,59.0,3.93,3.97,2.41,465
15399,15400,0.34,Premium,H,VS2,61.1,58.0,4.5,4.47,2.74,689
18368,18369,0.72,Very Good,J,VS1,62.3,57.0,5.73,5.77,3.58,2136
4342,4343,0.34,Very Good,E,SI1,63.0,55.0,4.42,4.47,2.8,596
758,759,0.54,Ideal,E,VS2,60.5,56.0,5.26,5.28,3.19,1754
12357,12358,0.4,Premium,G,VS1,62.2,55.0,4.83,4.69,2.96,1080
6598,6599,0.55,Ideal,E,VS2,62.5,56.0,5.26,5.23,3.28,2030
10923,10924,1.21,Premium,F,SI2,59.0,60.0,6.99,6.94,4.11,6092
26958,26959,1.37,Premium,E,SI2,61.0,57.0,7.25,7.19,4.4,6751
20380,20381,1.5,Fair,J,VS1,60.1,61.0,7.25,7.3,4.37,7819
38,39,1.26,Ideal,J,SI1,62.0,56.0,6.9,6.93,4.29,5301
3613,3614,0.31,Ideal,G,IF,62.1,54.0,4.38,4.41,2.73,891
9647,9648,0.3,Ideal,H,VVS2,61.5,57.0,4.34,4.31,2.66,776
18506,18507,0.52,Premium,E,VS2,60.3,60.0,5.21,5.17,3.13,1815
14704,14705,0.3,Ideal,D,VS2,61.6,56.0,4.31,4.36,2.67,670
5274,5275,0.5,Premium,F,VVS2,62.7,56.0,5.08,5.03,3.17,1987
14845,14846,0.28,Ideal,H,VVS2,61.6,56.0,4.22,4.26,2.61,514
7203,7204,1.02,Ideal,G,VS2,60.5,57.0,6.51,6.55,3.95,6356
2894,2895,1.0,Very Good,F,VS2,62.8,57.0,6.29,6.35,3.97,6957
5046,5047,0.71,Good,G,SI2,63.8,56.0,5.65,5.6,3.59,1960
17656,17657,0.4,Premium,G,SI2,,61.0,4.74,4.69,2.92,765
4587,4588,0.4,Ideal,I,IF,62.4,56.0,4.73,4.7,2.94,1050
19809,19810,1.05,Ideal,I,VS2,62.2,56.0,6.52,6.5,4.05,3428
12058,12059,0.73,Premium,G,VS2,60.7,58.0,5.82,5.87,3.55,2746
12656,12657,0.7,Very Good,H,SI1,63.0,55.0,5.59,5.64,3.54,2048
9245,9246,0.5,Ideal,H,VS1,62.6,53.0,5.09,5.14,3.2,1370
13804,13805,1.51,Premium,H,IF,60.2,60.0,7.44,7.41,4.47,13194
20957,20958,0.31,Ideal,D,VS1,60.5,55.0,4.43,4.39,2.67,877
8698,8699,0.54,Very Good,E,VS2,,58.0,5.21,5.13,3.26,1760
26555,26556,0.9,Very Good,G,VS2,62.7,59.0,6.09,6.16,3.84,4543
13075,13076,1.01,Premium,F,SI2,62.8,57.0,6.31,6.24,3.94,4137
7572,7573,1.51,Very Good,I,IF,62.2,62.0,7.3,7.33,4.55,12291
6301,6302,0.3,Premium,I,VVS2,61.9,61.0,4.32,4.28,2.66,675
2807,2808,1.01,Very Good,I,SI1,63.3,59.0,6.26,6.22,3.95,2730
20509,20510,0.51,Good,D,VS2,60.1,65.0,5.14,5.17,3.1,1430
20571,20572,0.46,Very Good,F,VVS1,62.3,56.0,4.94,4.98,3.09,1838
23691,23692,0.37,Premium,F,VS2,,59.0,4.63,4.66,2.78,746
8496,8497,0.32,Very Good,F,SI2,63.5,56.0,4.37,4.35,2.77,540
14619,14620,0.5,Premium,D,VS2,61.1,58.0,5.12,5.09,3.12,1845
11762,11763,1.01,Very Good,H,SI2,63.4,57.0,6.39,6.32,4.03,3592
12795,12796,0.43,Very Good,G,SI1,62.9,55.0,4.83,4.87,3.05,754
9178,9179,1.24,Very Good,H,SI2,60.0,58.0,6.99,7.05,4.21,5858
26938,26939,1.35,Ideal,J,VS2,61.8,54.0,7.1,7.14,4.4,6754
25324,25325,0.72,Good,H,SI2,64.1,58.0,5.65,5.68,3.63,1674
26038,26039,0.3,Ideal,D,VS2,61.6,57.0,4.33,4.3,2.66,911
252,253,0.36,Very Good,F,SI1,60.7,54.0,4.64,4.67,2.83,641
6860,6861,1.04,Premium,G,SI2,62.8,59.0,6.47,6.42,4.05,3564
5082,5083,1.0,Very Good,D,SI1,59.3,61.0,6.45,6.5,3.84,5987
511,512,0.3,Premium,G,SI1,62.6,57.0,4.34,4.25,2.69,574
20821,20822,0.91,Very Good,D,SI1,60.8,60.0,6.24,6.21,3.79,4561
13995,13996,0.91,Very Good,H,VS1,62.7,63.0,6.1,6.03,3.8,3881
22743,22744,0.31,Ideal,H,VVS2,62.8,57.0,4.33,4.3,2.71,802
17040,17041,0.34,Premium,F,VS2,62.9,58.0,4.46,4.44,2.8,880
3333,3334,0.71,Good,H,VVS2,63.0,59.0,5.64,5.67,3.56,2517
24346,24347,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,8431
12483,12484,0.43,Good,D,SI1,63.4,55.0,4.78,4.84,3.05,774
8405,8406,1.01,Premium,D,VVS2,62.2,59.0,6.36,6.3,3.94,8065
16717,16718,0.31,Good,J,VS1,61.9,61.0,4.29,4.34,2.67,412
14690,14691,1.0,Premium,G,VS2,62.1,57.0,6.43,6.39,3.98,5806
9060,9061,0.71,Very Good,I,SI1,58.9,59.0,5.78,5.84,3.42,2141
750,751,0.42,Ideal,I,SI1,61.0,56.0,4.86,4.83,2.96,914
13433,13434,0.55,Ideal,F,SI2,61.2,56.0,5.23,5.29,3.22,1175
24559,24560,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,1046
2348,2349,0.31,Ideal,F,IF,61.6,56.0,4.35,4.38,2.69,901
6074,6075,1.21,Ideal,G,VS1,61.8,55.0,6.81,6.87,4.23,8864
15263,15264,1.12,Premium,H,SI1,62.2,60.0,6.65,6.59,4.12,5363
8934,8935,1.7,Very Good,F,I1,63.1,56.0,7.62,7.51,4.78,5998
26082,26083,0.34,Ideal,G,VS2,61.6,56.0,4.48,4.51,2.77,573
19713,19714,0.52,Very Good,I,SI1,62.5,59.0,5.06,5.12,3.18,978
10842,10843,0.71,Ideal,I,VS1,62.2,54.0,5.71,5.75,3.56,2557
21214,21215,0.59,Premium,F,SI1,61.7,60.0,5.37,5.39,3.32,1412
18034,18035,1.09,Ideal,H,VVS1,61.4,56.0,6.64,6.67,4.09,7055
16533,16534,0.35,Ideal,H,VVS1,61.7,56.0,4.55,4.53,2.8,1024
6940,6941,0.3,Ideal,H,VVS2,61.0,55.0,4.33,4.34,2.65,577
19521,19522,0.9,Very Good,F,VS2,59.6,59.0,6.27,6.31,3.75,4397
14152,14153,0.7,Premium,J,VS1,62.0,58.0,5.68,5.74,3.54,1657
1465,1466,0.54,Good,E,SI1,59.9,63.0,5.25,5.3,3.16,1601
12302,12303,1.51,Premium,H,SI2,62.4,58.0,7.36,7.31,4.58,8388
25376,25377,0.3,Premium,D,SI2,61.2,57.0,4.33,4.3,2.64,574
25607,25608,1.0,Very Good,G,VVS2,63.5,55.0,6.36,6.3,4.02,5914
2390,2391,0.41,Ideal,G,VVS1,60.2,57.0,4.8,4.83,2.9,1076
23473,23474,0.54,Ideal,D,VVS2,61.3,56.0,5.22,5.26,3.21,2671
11940,11941,0.3,Very Good,F,SI1,62.9,57.0,4.25,4.27,2.68,500
20627,20628,1.51,Fair,I,VS2,,60.0,7.18,7.1,4.63,8879
12244,12245,0.7,Good,H,VS2,,63.0,5.87,5.92,3.34,2187
8573,8574,3.5,Ideal,H,I1,62.8,57.0,9.65,9.59,6.03,12587
23662,23663,0.7,Good,E,SI2,61.0,64.0,5.63,5.69,3.45,2116
5297,5298,1.01,Ideal,H,SI2,62.4,57.0,6.36,6.43,3.99,4693
14092,14093,0.32,Very Good,F,VVS1,61.6,56.0,4.37,4.41,2.7,886
17978,17979,0.7,Very Good,F,SI1,59.8,59.0,5.78,5.82,3.47,2161
